Wellbore name;NPDCode;Year;Month;On Stream;Oil;Gas;Water;GI;WI
;;;;hrs;Sm3;Sm3;Sm3;Sm3;Sm3
15/9-F-1 C;7405;2014;4;228;11142;1597937;0;NULL;NULL
15/9-F-1 C;7405;2014;5;734;24902;3496230;783;NULL;NULL
15/9-F-1 C;7405;2014;6;706;19618;2886662;2068;NULL;NULL
15/9-F-1 C;7405;2014;7;742;15086;2249366;6244;NULL;NULL
15/9-F-1 C;7405;2014;8;433;6970;1048191;4530;NULL;NULL
15/9-F-1 C;7405;2014;9;630;9168;1414100;8318;NULL;NULL
15/9-F-1 C;7405;2014;10;745;9468;1462064;10365;NULL;NULL
15/9-F-1 C;7405;2014;11;580;6710;1044188;7234;NULL;NULL
15/9-F-1 C;7405;2014;12;28;120;25857;183;NULL;NULL
15/9-F-1 C;7405;2015;1;480;10876;1604935;6851;NULL;NULL
15/9-F-1 C;7405;2015;2;437;9587;1439454;10745;NULL;NULL
15/9-F-1 C;7405;2015;3;320;5879;856681;11607;NULL;NULL
15/9-F-1 C;7405;2015;4;263;3924;566710;9815;NULL;NULL
15/9-F-1 C;7405;2015;5;181;3833;559060;6167;NULL;NULL
15/9-F-1 C;7405;2015;6;466;6345;925337;14549;NULL;NULL
15/9-F-1 C;7405;2015;7;242;2094;315179;8454;NULL;NULL
15/9-F-1 C;7405;2015;8;148;2871;427693;5334;NULL;NULL
15/9-F-1 C;7405;2015;9;384;6460;961548;14767;NULL;NULL
15/9-F-1 C;7405;2015;10;368;4086;631373;13539;NULL;NULL
15/9-F-1 C;7405;2015;11;301;3332;508384;11682;NULL;NULL
15/9-F-1 C;7405;2015;12;198;2949;454911;6232;NULL;NULL
15/9-F-1 C;7405;2016;1;388;2981;471676;14036;NULL;NULL
15/9-F-1 C;7405;2016;2;484;4718;742340;15946;NULL;NULL
15/9-F-1 C;7405;2016;3;357;2918;476830;13411;NULL;NULL
15/9-F-1 C;7405;2016;4;141;1672;274213;4441;NULL;NULL
15/9-F-11;7078;2013;7;113;3923;590505;0;NULL;NULL
15/9-F-11;7078;2013;8;587;25496;3871942;520;NULL;NULL
15/9-F-11;7078;2013;9;539;23775;3661574;1574;NULL;NULL
15/9-F-11;7078;2013;10;678;34115;5272724;1927;NULL;NULL
15/9-F-11;7078;2013;11;712;35386;5413486;3791;NULL;NULL
15/9-F-11;7078;2013;12;662;33406;5190659;4963;NULL;NULL
15/9-F-11;7078;2014;1;668;34552;5193353;4343;NULL;NULL
15/9-F-11;7078;2014;2;563;28190;4255283;2841;NULL;NULL
15/9-F-11;7078;2014;3;655;33291;5039850;3692;NULL;NULL
15/9-F-11;7078;2014;4;692;35429;5301959;4124;NULL;NULL
15/9-F-11;7078;2014;5;732;34832;4902619;5017;NULL;NULL
15/9-F-11;7078;2014;6;709;33899;4990685;6084;NULL;NULL
15/9-F-11;7078;2014;7;743;33760;5035917;6801;NULL;NULL
15/9-F-11;7078;2014;8;599;26038;4033770;6077;NULL;NULL
15/9-F-11;7078;2014;9;691;33222;5220329;8349;NULL;NULL
15/9-F-11;7078;2014;10;745;33852;5237208;10288;NULL;NULL
15/9-F-11;7078;2014;11;692;26612;4153116;9404;NULL;NULL
15/9-F-11;7078;2014;12;734;8548;1413112;3079;NULL;NULL
15/9-F-11;7078;2015;1;708;29562;4358979;13861;NULL;NULL
15/9-F-11;7078;2015;2;632;25347;3836074;14061;NULL;NULL
15/9-F-11;7078;2015;3;744;44316;6516700;19387;NULL;NULL
15/9-F-11;7078;2015;4;720;54556;7956467;23840;NULL;NULL
15/9-F-11;7078;2015;5;744;55029;8027510;24426;NULL;NULL
15/9-F-11;7078;2015;6;719;48231;7065852;22892;NULL;NULL
15/9-F-11;7078;2015;7;744;43785;6508853;36196;NULL;NULL
15/9-F-11;7078;2015;8;632;31498;4769902;31870;NULL;NULL
15/9-F-11;7078;2015;9;719;31425;4748110;37412;NULL;NULL
15/9-F-11;7078;2015;10;627;29725;4501570;38023;NULL;NULL
15/9-F-11;7078;2015;11;671;36410;5558573;57059;NULL;NULL
15/9-F-11;7078;2015;12;740;35934;5504665;62976;NULL;NULL
15/9-F-11;7078;2016;1;736;31603;4949941;67981;NULL;NULL
15/9-F-11;7078;2016;2;696;25955;4093287;66610;NULL;NULL
15/9-F-11;7078;2016;3;743;25024;4032038;76637;NULL;NULL
15/9-F-11;7078;2016;4;579;13429;2194427;57932;NULL;NULL
15/9-F-11;7078;2016;5;744;15529;2450714;73445;NULL;NULL
15/9-F-11;7078;2016;6;718;14591;2349131;71699;NULL;NULL
15/9-F-11;7078;2016;7;740;14385;2309447;77085;NULL;NULL
15/9-F-11;7078;2016;8;744;14584;2341372;87762;NULL;NULL
15/9-F-11;7078;2016;9;392;8609;1458816;46779;NULL;NULL
15/9-F-12;5599;2008;2;407;49091;7068009;413;NULL;NULL
15/9-F-12;5599;2008;3;655;83361;12191171;27;NULL;NULL
15/9-F-12;5599;2008;4;614;74532;11506441;482;NULL;NULL
15/9-F-12;5599;2008;5;716;125479;19091872;16280;NULL;NULL
15/9-F-12;5599;2008;6;676;143787;21512334;474;NULL;NULL
15/9-F-12;5599;2008;7;711;114995;17116442;290;NULL;NULL
15/9-F-12;5599;2008;8;673;97822;14143008;354;NULL;NULL
15/9-F-12;5599;2008;9;568;77667;11185944;188;NULL;NULL
15/9-F-12;5599;2008;10;738;94357;13430834;624;NULL;NULL
15/9-F-12;5599;2008;11;713;145916;20837122;2390;NULL;NULL
15/9-F-12;5599;2008;12;744;166440;24106362;1003;NULL;NULL
15/9-F-12;5599;2009;1;741;153677;22255224;390;NULL;NULL
15/9-F-12;5599;2009;2;656;121905;17427052;0;NULL;NULL
15/9-F-12;5599;2009;3;506;92959;13123547;0;NULL;NULL
15/9-F-12;5599;2009;4;719;150956;20931108;1246;NULL;NULL
15/9-F-12;5599;2009;5;695;141039;19366853;3106;NULL;NULL
15/9-F-12;5599;2009;6;715;132430;17787476;2659;NULL;NULL
15/9-F-12;5599;2009;7;742;106105;14721967;3289;NULL;NULL
15/9-F-12;5599;2009;8;589;112414;15676350;5024;NULL;NULL
15/9-F-12;5599;2009;9;493;90099;12553422;2235;NULL;NULL
15/9-F-12;5599;2009;10;684;126940;17819694;6813;NULL;NULL
15/9-F-12;5599;2009;11;706;136016;19181584;11287;NULL;NULL
15/9-F-12;5599;2009;12;729;158002;22160862;17321;NULL;NULL
15/9-F-12;5599;2010;1;742;149659;21044604;30230;NULL;NULL
15/9-F-12;5599;2010;2;609;103026;14520590;43216;NULL;NULL
15/9-F-12;5599;2010;3;648;101572;14278519;53999;NULL;NULL
15/9-F-12;5599;2010;4;706;86254;12161146;67996;NULL;NULL
15/9-F-12;5599;2010;5;733;77114;10970381;74438;NULL;NULL
15/9-F-12;5599;2010;6;717;69617;9944534;83268;NULL;NULL
15/9-F-12;5599;2010;7;742;64040;9283377;95054;NULL;NULL
15/9-F-12;5599;2010;8;427;30117;4346504;54788;NULL;NULL
15/9-F-12;5599;2010;9;645;51313;7750211;89429;NULL;NULL
15/9-F-12;5599;2010;10;743;51431;7741377;99543;NULL;NULL
15/9-F-12;5599;2010;11;690;44468;6747078;102236;NULL;NULL
15/9-F-12;5599;2010;12;741;45218;6910660;111336;NULL;NULL
15/9-F-12;5599;2011;1;744;44747;6824001;116886;NULL;NULL
15/9-F-12;5599;2011;2;557;29157;4519227;85274;NULL;NULL
15/9-F-12;5599;2011;3;730;37395;5760219;113239;NULL;NULL
15/9-F-12;5599;2011;4;718;37820;5877461;116196;NULL;NULL
15/9-F-12;5599;2011;5;736;37205;5801740;119567;NULL;NULL
15/9-F-12;5599;2011;6;463;22026;3412026;74563;NULL;NULL
15/9-F-12;5599;2011;7;245;12462;1823751;31888;NULL;NULL
15/9-F-12;5599;2011;8;651;36380;5446517;99005;NULL;NULL
15/9-F-12;5599;2011;9;707;29999;4566407;110472;NULL;NULL
15/9-F-12;5599;2011;10;326;12648;1919664;52876;NULL;NULL
15/9-F-12;5599;2011;11;459;21789;3242434;75773;NULL;NULL
15/9-F-12;5599;2011;12;425;18090;2650493;64677;NULL;NULL
15/9-F-12;5599;2012;1;400;18218;2722573;63858;NULL;NULL
15/9-F-12;5599;2012;2;689;27362;4289925;133955;NULL;NULL
15/9-F-12;5599;2012;3;740;26680;4276186;142184;NULL;NULL
15/9-F-12;5599;2012;4;710;24088;3866150;138112;NULL;NULL
15/9-F-12;5599;2012;5;738;22415;3630958;140203;NULL;NULL
15/9-F-12;5599;2012;6;711;20887;3394646;134081;NULL;NULL
15/9-F-12;5599;2012;7;744;21207;3444769;140165;NULL;NULL
15/9-F-12;5599;2012;8;289;8998;1376155;54787;NULL;NULL
15/9-F-12;5599;2012;9;27;1014;156920;4513;NULL;NULL
15/9-F-12;5599;2012;10;610;19613;3067585;121317;NULL;NULL
15/9-F-12;5599;2012;11;720;19019;3086440;134909;NULL;NULL
15/9-F-12;5599;2012;12;700;16321;2717290;131667;NULL;NULL
15/9-F-12;5599;2013;1;744;17409;2881179;139784;NULL;NULL
15/9-F-12;5599;2013;2;672;15087;2461249;126325;NULL;NULL
15/9-F-12;5599;2013;3;308;6306;1053666;57121;NULL;NULL
15/9-F-12;5599;2013;4;513;12351;2055292;102945;NULL;NULL
15/9-F-12;5599;2013;5;732;16313;2757755;147165;NULL;NULL
15/9-F-12;5599;2013;6;567;11900;2037220;112559;NULL;NULL
15/9-F-12;5599;2013;7;581;11862;1919702;112173;NULL;NULL
15/9-F-12;5599;2013;8;688;15147;2354241;152995;NULL;NULL
15/9-F-12;5599;2013;9;590;9224;1446819;104678;NULL;NULL
15/9-F-12;5599;2013;10;680;8305;1283584;137535;NULL;NULL
15/9-F-12;5599;2013;11;649;7171;1102962;122993;NULL;NULL
15/9-F-12;5599;2013;12;633;7080;1101389;125859;NULL;NULL
15/9-F-12;5599;2014;1;486;4997;766196;87030;NULL;NULL
15/9-F-12;5599;2014;2;562;6101;921967;110298;NULL;NULL
15/9-F-12;5599;2014;3;657;6836;1036071;127351;NULL;NULL
15/9-F-12;5599;2014;4;693;5892;883605;141145;NULL;NULL
15/9-F-12;5599;2014;5;427;3238;469664;88748;NULL;NULL
15/9-F-12;5599;2014;6;707;5751;846734;152035;NULL;NULL
15/9-F-12;5599;2014;7;743;5792;864046;152314;NULL;NULL
15/9-F-12;5599;2014;8;593;4448;704538;126629;NULL;NULL
15/9-F-12;5599;2014;9;686;5063;803971;149376;NULL;NULL
15/9-F-12;5599;2014;10;745;5386;833121;155366;NULL;NULL
